Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,win_x86,win_x86-64,win_x86-64_cmprssptrs,linux_x86,linux_x86-64,linux_x86-64_cmprssptrs,linux_ppc,linux_ppc-64,linux_ppc-64_cmprssptrs,linux_ppc-64_le,linux_ppc-64_cmprssptrs_le,linux_390,linux_390-64,linux_390-64_cmprssptrs,aix_ppc,aix_ppc-64,aix_ppc-64_cmprssptrs,zos_390,zos_390-64,zos_390-64_cmprssptrs,linux_arm,osx_x86-64,osx_x86-64_cmprssptrs,bsd_x86-64_cmprssptrs,sunos_sparcv9-64_cmprssptrs,linux_aarch64,linux_aarch64_cmprssptrs,linux_riscv64,linux_riscv64_cmprssptrs
variation:Mode615,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode618,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode619,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode621,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode622,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode623,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode624,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode627,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode628,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode630,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode640,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode641,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode642,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode643,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode644,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode685,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no
variation:Mode686,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no
variation:Mode687,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no
variation:Mode688,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no
variation:Mode107-OSR,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no
variation:Mode110-OSR,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode112-OSR,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no
variation:Mode607-OSR,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode610-OSR,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode612-OSR,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode107-OSRG,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no
variation:Mode110-OSRG,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode607-OSRG,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode610-OSRG,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
variation:Mode612-OSRG,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
>>>>>>> 831c465 Solaris spec update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
